country,lifeExp,gdpPercap,pop,continent
投資有價證券,22186,2260428151879.0,28.44657535900386,Asia
本國銀行,3453,2153654021610.0,28.39818706041078,Asia
金融控股,36,1677202046880.0,28.14814807265725,Asia
不動產投資開發,16869,999049381963.0,27.630070045767667,Asia
其他投資顧問,6975,789372220287.0,27.39450380863499,Asia
不動產租賃,10827,688564449984.0,27.257874760006377,Asia
人身保險,198,653146681029.0,27.205067567382493,Asia
其他未分類電子零組件製造,4089,614669568813.0,27.1443506738799,Asia
電力供應,1900,555040506015.0,27.042306931840468,Asia
電子器材、電子設備批發,18301,455302412616.0,26.844227678232038,Asia
其他積體電路製造,197,450892291900.0,26.83449432730606,Asia
不動產買賣,8031,441464743567.0,26.81336399778138,Asia
其他商品批發經紀,10945,320787439353.0,26.494044558035693,Asia
證券商,774,315009550691.0,26.47586879496638,Asia
鐵路運輸,67,264256500569.0,26.300186061466082,Asia
其他管理顧問服務,14152,255951614305.0,26.268254256940878,Asia
汽油製造,17,226102004520.0,26.144252081825712,Asia
磊晶矽晶圓製造,87,225408277120.0,26.141179159794447,Asia
其他公用事業設施工程,508,194967687795.0,25.996099678164413,Asia
鑄鐵件鑄造,2189,192210730716.0,25.981858162912665,Asia
電腦製造,219,190307976990.0,25.971909528341605,Asia
其他發電、輸電及配電機械製造,1911,187583327966.0,25.95748899945208,Asia
其他未分類金融輔助,191,184994220628.0,25.943590421688114,Asia
有線通信服務,623,172656864960.0,25.87457202228557,Asia
其他化學原材料及其製品批發,5850,171320134493.0,25.866799774732964,Asia
其他印刷電路板組件製造,57,160403109610.0,25.80095591878692,Asia
未分類其他土木工程,12116,155080592601.0,25.76721077100183,Asia
其他產業用機械設備維修及安裝,3514,149543767077.0,25.730854943300262,Asia
電腦及電腦週邊設備批發,10459,149202624972.0,25.72857111820742,Asia
用水供應,228,148849582000.0,25.726202116208082,Asia
其他化學原材料製造,404,133840542870.0,25.61991494972853,Asia
鋼鐵冶鍊,317,131979385630.0,25.605911577867364,Asia
電子連接器（線）製造,538,131881444540.0,25.605169208532477,Asia
其他塑膠原料製造,314,131757183680.0,25.604226547966835,Asia
航空運輸,147,130814517713.0,25.59704626149999,Asia
無線通信服務,366,126795394047.0,25.56584055373931,Asia
百貨公司,682,125098499460.0,25.552367259623118,Asia
海洋水運,281,121374315970.0,25.522145127867457,Asia
其他信託、基金及類似金融實體,36,119693075011.0,25.508196594962946,Asia
電腦及電腦週邊設備零售,5420,118152266727.0,25.495240025558225,Asia
液晶面板及其組件製造,43,116188958754.0,25.478483657520854,Asia
其他未分類金融中介,1418,116114247822.0,25.47784043837914,Asia
其他汽車貨運,6540,114961095159.0,25.467859605107087,Asia
道路工程,1148,114224334483.0,25.461430198009765,Asia
觀光旅館,412,112959180299.0,25.45029235410517,Asia
二極體製造,24,110192846780.0,25.42549782030613,Asia
旅館,3805,108757875179.0,25.412389919732412,Asia
室內裝潢工程,26237,107288421990.0,25.39878657759241,Asia
電子管製造,86,105479589160.0,25.38178330346752,Asia
其他資料處理、主機及網站代管服務,2616,104884207992.0,25.376122797564953,Asia
綜合商品批發,5615,100139248109.0,25.329827535421778,Asia
電線及電纜製造,591,97930006650.0,25.30751884258476,Asia
住宅營建,2518,93008367838.0,25.25595530280469,Asia
未分類其他通訊傳播設備製造,206,91858351371.0,25.24351356849163,Asia
半導體封裝及測試,53,91178335410.0,25.2360831554782,Asia
電纜裝修工程,622,88360705015.0,25.20469319435966,Asia
未分類其他機械器具批發,14729,86591609221.0,25.184468756608073,Asia
未分類其他資訊服務,4944,85372396339.0,25.170288657610982,Asia
動物飼品製造,347,84949034335.0,25.1653173175483,Asia
土地開發,827,83714064358.0,25.1506728332769,Asia
其他汽車零件製造,1583,81322037980.0,25.121682886632076,Asia
郵政儲金匯兌,769,79932000000.0,25.104442110165454,Asia
未分類其他食品批發,16024,79593521110.0,25.100198533393698,Asia
其他建築工程,2987,79515384361.0,25.099216353860125,Asia
貨櫃及貨物集散站經營,110,78756794524.0,25.089630390600117,Asia
其他未分類專業、科學及技術服務,2986,78340463569.0,25.084330082565106,Asia
砂糖製造,7,78305192000.0,25.083879746812507,Asia
記憶體製造,8,78295709279.0,25.083758639961474,Asia
未分類其他專門營造,8796,77242963114.0,25.0702216561997,Asia
建材五金（基本金屬）批發,9115,75004083103.0,25.040808390374178,Asia
餐館、餐廳,34942,72145367576.0,25.00194891464419,Asia
證券投資顧問,1092,69973667342.0,24.97138482739344,Asia
票券金融,36,69359072170.0,24.96256279231077,Asia
聚酯纖維梭織布製造,101,69213458790.0,24.96046117184405,Asia
其他視聽電子產品製造,502,65027721935.0,24.898079507228175,Asia
陶瓷餐具燒製,122,64514362570.0,24.890153711463505,Asia
全新汽車零售,1975,63099739431.0,24.86798247702388,Asia
水泥製造,67,62856518390.0,24.86412048004951,Asia
輪胎製造,69,61342915710.0,24.839745528086137,Asia
未分類其他技術檢測及分析服務,496,60451812672.0,24.825112399860362,Asia
其他未分類專用機械設備製造,3408,59821267776.0,24.81462708310318,Asia
未分類其他電力設備及配備製造,474,59462757753.0,24.808616033410573,Asia
棉混紡梭織布製造,577,57086856028.0,24.76783973495598,Asia
汽車零件、汽車百貨批發,10336,56986094638.0,24.766073121300114,Asia
建材五金（螺絲、螺帽、鉚釘等金屬製品）批發,14082,56581944837.0,24.75895577545284,Asia
未分類其他塑膠製品製造,3771,55148945499.0,24.733303461864754,Asia
人用西藥製造,154,54465146390.0,24.720826818258352,Asia
其他金屬手工具製造,8203,54288036438.0,24.717569716186116,Asia
其他家用電器批發,3693,53910634281.0,24.710593591894476,Asia
其他未分類化學製品製造,553,53654327430.0,24.70582796316167,Asia
螺絲、螺帽及鉚釘製造,3066,53266245882.0,24.698568681992292,Asia
精密化學材料製造,124,52348648650.0,24.681191960176196,Asia
其他未分類金屬製品製造,5711,52109719376.0,24.676617320629468,Asia
未分類其他通用機械設備製造,3046,50783251286.0,24.650832438073664,Asia
印刷電路板製造,253,49942248400.0,24.63413314281101,Asia
鑄管鑄造,85,49178589420.0,24.618724191338575,Asia
船務代理,333,48049867570.0,24.595505216271505,Asia
菸草製造,8,47756194000.0,24.58937461273808,Asia
鋼板（捲）、鋼帶、鋼片製造,463,46413398070.0,24.560854006006547,Asia
外國銀行,142,45601416499.0,24.54320461655885,Asia
水電工程,12586,43702585001.0,24.500673090639427,Asia
管道工程,9885,43481515802.0,24.49560176064327,Asia
印刷,6160,43377008178.0,24.493195372193586,Asia
金融租賃,76,43303486850.0,24.491498996426298,Asia
石油化工原料製造,62,42286525090.0,24.46773431645701,Asia
西藥批發,1382,42277700635.0,24.467525612245353,Asia
工業用橡膠製品製造,717,42212546309.0,24.46598331970221,Asia
其他財產保險,190,42110298460.0,24.463558166722773,Asia
未分類其他電腦週邊設備製造,400,40908669466.0,24.434607844917117,Asia
電力機械器材及設備維修及安裝,1115,40292288514.0,24.419425935578992,Asia
全新汽車批發,925,40273898913.0,24.41896942641785,Asia
絲織、麻織、棉織、毛織品批發,2928,40180368628.0,24.416644370706248,Asia
其他化粧品批發,7673,39900939580.0,24.409665708935897,Asia
其他醫療器材及用品製造,574,39810286636.0,24.407391174033194,Asia
停車場管理,9375,39595148570.0,24.40197243684319,Asia
橡膠鞋製造,113,39301846120.0,24.394537329781947,Asia
未分類其他建材批發,6509,37489927122.0,24.34733812376063,Asia
其他金屬模具製造,4248,37387919076.0,24.34461346982662,Asia
其他電子、通訊設備及其零組件批發,3550,37053687264.0,24.335633705032137,Asia
塑膠、橡膠建材製品批發,3175,36880325501.0,24.33094406154488,Asia
遊樂園及主題樂園,243,35805285570.0,24.301361361075227,Asia
被動電子元件製造,271,35210775640.0,24.28461799883978,Asia
普通倉儲經營,802,35150870065.0,24.28291520781281,Asia
證券輔助,36,34957724523.0,24.277405297600556,Asia
合成橡膠原料製造,202,34458224850.0,24.263013553370527,Asia
其他電腦程式設計,2617,34347149584.0,24.25978487062867,Asia
旅行業,3852,34081277542.0,24.252014024765955,Asia
醫療機械設備批發,2287,33682800690.0,24.24025317874214,Asia
玻璃容器製造,147,33304311000.0,24.228952685013116,Asia
汽車貨櫃貨運,723,33019033940.0,24.220350018196353,Asia
