class,count,capital,ave_cap
稻米零售,464,1074059192.0,2314782.7413793104
積體電路設計,145,18978491320.0,130886147.03448276
空白光碟片批發,42,283209940.0,6743093.80952381
空白光碟片製造,13,14591922840.0,1122455603.0769231
空白光碟片零售,12,21650000.0,1804166.6666666667
空白唱片製造,16,224925000.0,14057812.5
窗簾、沙發套、椅套、桌巾製造,63,929640000.0,14756190.476190476
窗簾批發,220,615416000.0,2797345.4545454546
窗簾零售,196,394529887.0,2012907.586734694
竹、木、藤製（藤蓆除外）家飾品批發,159,813320000.0,5115220.125786164
竹、木、藤製（藤蓆除外）家飾品零售,127,490585000.0,3862874.0157480314
竹材批發,42,170863000.0,4068166.6666666665
竹製品製造,78,831507300.0,10660350.0
算命卜卦、占星、堪輿,35,19394598.0,554131.3714285714
管道工程,9023,43410366875.0,4811079.117255902
管道運輸,10,44527000.0,4452700.0
籌辦運動活動,99,985309000.0,9952616.161616161
粉末冶金,72,3575389420.0,49658186.38888889
粗製茶,68,239380400.0,3520300.0
精密化學材料製造,117,52348198650.0,447420501.28205127
精製茶,97,1449948160.0,14947919.175257731
糕餅麵包製造,541,5999477800.0,11089607.76340111
糖果餅乾批發,647,6137862278.0,9486649.579598146
糖果餅乾零售,383,2148476300.0,5609598.694516972
糖漿製造,5,106380000.0,21276000.0
系統保全服務,212,19287919430.0,90980752.02830188
系統整合,302,7605019762.0,25182184.642384104
系統規劃、分析及設計,753,26242156210.0,34850141.04913679
紅糖製造,8,94000000.0,11750000.0
紋身、紋眉服務,57,19315000.0,338859.649122807
納骨塔營建,26,2174865400.0,83648669.23076923
紙尿褲及衛生棉製造,3,1455879000.0,485293000.0
紙尿褲批發,59,504290000.0,8547288.13559322
紙尿褲零售,52,487158816.0,9368438.76923077
紙張（板）批發,1058,10967907548.0,10366642.29489603
紙板製造,54,1019260000.0,18875185.185185187
紙漿製造,30,16340141130.0,544671371.0
紙盒、紙袋批發,647,2101011151.0,3247312.4435857804
紙盒、紙袋零售,187,1015348000.0,5429668.449197861
紙袋製造,193,1580058000.0,8186829.015544041
紡織及成衣機械批發,371,2298418000.0,6195196.765498652
紡織品零售攤販,2,7000000.0,3500000.0
紡織帽製造,55,459877400.0,8361407.2727272725
紡織手套製造,43,424296000.0,9867348.837209303
紡織機械設備製造,252,2850729340.0,11312418.015873017
紡織紗批發,341,6872032640.0,20152588.387096774
紡織紗零售,53,1324625000.0,24992924.528301887
紡織鞋製造,24,394200000.0,16425000.0
紮鋼筋工程,1000,4466390840.0,4466390.84
終端機製造,21,6146912170.0,292710103.3333333
絲織、麻織、棉織、毛織品批發,2664,40165392628.0,15077099.334834835
絲織、麻織、棉織、毛織品零售,498,5153830129.0,10349056.483935744
經營網路購物,9745,12350888631.0,1267407.761005644
經營郵購,8,9100000.0,1137500.0
經營電視購物、電台購物,315,4582015926.0,14546082.304761905
經編針織布製造,16,395920000.0,24745000.0
綜合商品批發,4992,100109277565.0,20053941.81991186
綜合商品拍賣（零售）,77,343445595.0,4460332.402597402
綜合研究發展服務,261,7843466560.0,30051596.01532567
綠化服務,1203,3665059098.0,3046599.416458853
網球場,4,200500000.0,50125000.0
網路卡製造,2,1918702330.0,959351165.0
網路廣播,5,13550000.0,2710000.0
網路電視節目編排及播放,11,21000000.0,1909090.9090909092
網際網路接取服務提供（ＩＡＳＰ）,28,3175925720.0,113425918.57142857
網頁設計,529,1406829486.0,2659413.0170132327
線上影片串流服務,13,390149460.0,30011496.923076924
線上影片節目製作,89,378593960.0,4253864.7191011235
線上音樂串流服務,1,1100000.0,1100000.0
