country,lifeExp,gdpPercap,pop,continent
水電工程,12586,43702585001.0,3472317.2573494357,Asia
管道工程,9885,43481515802.0,4398737.056348002,Asia
印刷,6160,43377008178.0,7041722.106818181,Asia
金融租賃,76,43303486850.0,569782721.7105263,Asia
石油化工原料製造,62,42286525090.0,682040727.2580645,Asia
西藥批發,1382,42277700635.0,30591679.18596237,Asia
工業用橡膠製品製造,717,42212546309.0,58873844.22454672,Asia
其他財產保險,190,42110298460.0,221633149.78947368,Asia
未分類其他電腦週邊設備製造,400,40908669466.0,102271673.665,Asia
電力機械器材及設備維修及安裝,1115,40292288514.0,36136581.62690583,Asia
全新汽車批發,925,40273898913.0,43539350.176216215,Asia
絲織、麻織、棉織、毛織品批發,2928,40180368628.0,13722803.493169399,Asia
其他化粧品批發,7673,39900939580.0,5200174.583604848,Asia
其他醫療器材及用品製造,574,39810286636.0,69355900.06271777,Asia
停車場管理,9375,39595148570.0,4223482.514133333,Asia
橡膠鞋製造,113,39301846120.0,347803947.96460176,Asia
未分類其他建材批發,6509,37489927122.0,5759706.117990475,Asia
其他金屬模具製造,4248,37387919076.0,8801299.217514124,Asia
其他電子、通訊設備及其零組件批發,3550,37053687264.0,10437658.384225352,Asia
塑膠、橡膠建材製品批發,3175,36880325501.0,11615850.551496062,Asia
遊樂園及主題樂園,243,35805285570.0,147346854.19753087,Asia
被動電子元件製造,271,35210775640.0,129929061.40221402,Asia
普通倉儲經營,802,35150870065.0,43829015.0436409,Asia
證券輔助,36,34957724523.0,971047903.4166666,Asia
合成橡膠原料製造,202,34458224850.0,170585271.53465346,Asia
其他電腦程式設計,2617,34347149584.0,13124627.277034773,Asia
旅行業,3852,34081277542.0,8847683.681723779,Asia
醫療機械設備批發,2287,33682800690.0,14727940.835155224,Asia
玻璃容器製造,147,33304311000.0,226559938.7755102,Asia
汽車貨櫃貨運,723,33019033940.0,45669479.861687414,Asia
氣體燃料供應,178,32994355370.0,185361547.0224719,Asia
醫療耗材批發,3157,32778808885.0,10382897.968007602,Asia
其他辦公用機械器具批發,2298,32774433601.0,14262155.614012184,Asia
電腦套裝軟體批發,2841,32768238698.0,11534050.932066174,Asia
未分類其他組織,450,31372849712.0,69717443.80444445,Asia
衛星電視頻道經營,77,31367373260.0,407368483.8961039,Asia
一次電池製造,55,30956769040.0,562850346.1818181,Asia
金屬裁剪、焊接處理,1654,30854674550.0,18654579.53446191,Asia
其他汽車製造,82,30715391150.0,374577940.85365856,Asia
塑膠外殼及配件製造,1311,30675978666.0,23398915.839816935,Asia
其他未分類專賣批發,3073,30546250610.0,9940205.209892614,Asia
遊覽車客運,860,30452369001.0,35409731.39651163,Asia
報關服務,1179,29739685850.0,25224500.296861745,Asia
其他人造纖維紡紗紡製,106,29717804840.0,280356649.4339623,Asia
金屬用車床、銑床、鑽床製造,1237,29606505689.0,23934119.392886013,Asia
聚酯粒製造,80,29202234690.0,365027933.625,Asia
塑膠皮、塑膠布製造,1226,28962182105.0,23623313.29934747,Asia
冷凍、通風、空調系統裝修工程,5383,27864326539.0,5176356.407022106,Asia
創業投資公司,437,27831089365.0,63686703.35240275,Asia
汽車租賃,1509,27733282068.0,18378583.212723657,Asia
服裝批發,5262,27385880935.0,5204462.359369061,Asia
電路工程,4673,26722346601.0,5718456.366573935,Asia
其他民間融資,232,26571624178.0,114532862.8362069,Asia
系統規劃、分析及設計,831,26245865210.0,31583471.97352587,Asia
太陽能電池製造,76,26183485230.0,344519542.5,Asia
未分類其他橡膠製品製造,808,25775917495.0,31900887.988861386,Asia
預拌混凝土製造,482,25713182680.0,53346852.03319502,Asia
其他運動場館,593,25568295012.0,43116854.99494098,Asia
其他機電、電信及電路設備裝修,3480,25064651852.0,7202486.164367816,Asia
未分類其他服飾品批發,5171,24974649179.0,4829752.306903887,Asia
基本金屬表面處理,2157,24814032646.0,11503955.79323134,Asia
其他金屬建材批發,3150,24690845218.0,7838363.561269841,Asia
不動產仲介,6093,24489958360.0,4019359.652059741,Asia
汽車車體、車身製造,242,24413346200.0,100881595.8677686,Asia
未分類其他家用器具及用品批發,8083,24117016072.0,2983671.4180378574,Asia
未分類其他綜合商品零售,6598,23996002979.0,3636860.105941194,Asia
有線電話機製造,112,23201420860.0,207155543.39285713,Asia
金屬製品表面處理,917,23132403359.0,25226175.964013085,Asia
